"","Family","sites","studies","species","percent","sites_1","studies_1","sites_2","studies_2","sites_low","studies_low","sites_high","studies_high","Abundance","SpeciesRichness"
"1","Scarabaeidae","539","14","9","23.28293737","266","13","70","5","57","6","146","7","532","532"
"2","Carabidae","366","28","4","15.80993521","136","11","90","18","100","13","40","14","362","362"
"3","Unspecified","235","13","1","10.15118790","73","7","65","9","31","5","66","6","221","221"
"4","Tenebrionidae","233","1","1","10.06479482","124","1","0","0","109","1","0","0","233","233"
"5","Staphylinidae","194","5","2","8.38012959","163","3","13","2","6","1","12","1","178","178"
"6","Anobiidae","106","4","1","4.57883369","18","3","76","4","0","0","12","1","105","105"
"7","Cerambycidae","87","3","2","3.75809935","42","3","17","2","16","1","12","1","83","83"
"8","Pyrochroidae","80","1","1","3.45572354","0","0","80","1","0","0","0","0","10","10"
"9","Elateridae","72","1","1","3.11015119","0","0","18","1","36","1","18","1","34","34"
"10","Cetoniidae","67","2","2","2.89416847","23","1","16","2","16","1","12","1","49","49"
"11","Bostrichidae","63","3","1","2.72138229","2","1","9","1","18","1","34","2","63","63"
"12","Anthicidae","53","4","1","2.28941685","0","0","0","0","0","0","53","4","33","53"
"13","Buprestidae","42","3","1","1.81425486","15","1","9","1","18","2","0","0","38","38"
"14","Aphodiidae","33","3","3","1.42548596","12","2","9","2","12","1","0","0","33","33"
"15","Melolonthidae","32","3","2","1.38228942","0","0","0","0","20","3","12","2","14","14"
"16","Dermestidae","30","1","1","1.29589633","0","0","0","0","7","1","23","1","2","2"
"17","Coccinellidae","20","2","2","0.86393089","7","1","5","2","5","1","3","1","8","8"
"18","Hybosoridae","15","1","1","0.64794816","4","1","0","0","11","1","0","0","15","15"
"19","Nitidulidae","15","1","1","0.64794816","0","0","15","1","0","0","0","0","2","2"
"20","Chrysomelidae","10","1","1","0.43196544","3","1","0","0","3","1","4","1","10","10"
"21","Curculionidae","8","1","1","0.34557235","0","0","8","1","0","0","0","0","8","8"
"22","Aderidae","5","1","1","0.21598272","5","1","0","0","0","0","0","0","5","5"
"23","Dytiscidae","4","1","1","0.17278618","1","1","2","1","1","1","0","0","4","4"
"24","Melyridae","4","1","1","0.17278618","4","1","0","0","0","0","0","0","3","3"
"25","Latridiidae","2","1","1","0.08639309","0","0","2","1","0","0","0","0","2","2"
