"","Family","sites","studies","species","percent","sites_1","studies_1","sites_2","studies_2","sites_low","studies_low","sites_high","studies_high","Abundance","SpeciesRichness"
"1","Apidae","1145","52","18","34.4050481","232","16","274","29","225","14","414","27","1013","1065"
"2","Andrenidae","1023","26","11","30.7391827","1","1","71","6","178","9","773","18","953","953"
"3","Formicidae","772","50","14","23.1971154","218","32","295","33","130","20","129","25","643","731"
"4","Unspecified","207","8","1","6.2199519","74","6","63","7","43","4","27","4","95","95"
"5","Megachilidae","57","2","1","1.7127404","0","0","21","2","12","1","24","1","57","57"
"6","Aphelinidae","37","2","1","1.1117788","0","0","0","0","0","0","37","2","17","37"
"7","Pompilidae","30","1","1","0.9014423","0","0","0","0","7","1","23","1","30","30"
"8","Halictidae","24","4","1","0.7211538","6","1","18","3","0","0","0","0","24","24"
"9","Eumenidae","17","1","1","0.5108173","17","1","0","0","0","0","0","0","17","17"
"10","Colletidae","12","1","1","0.3605769","12","1","0","0","0","0","0","0","12","12"
"11","Vespidae","4","1","1","0.1201923","4","1","0","0","0","0","0","0","4","4"
