"","Order","Sites","Studies","sites_1","studies_1","sites_2","studies_2","sites_low","studies_low","sites_high","studies_high"
"1","Archaeognatha","310","7","109","5","120","5","72","3","9","2"
"2","Blattodea","486","21","141","9","147","11","129","10","69","8"
"3","Coleoptera","2315","99","898","52","504","54","466","41","447","43"
"4","Dermaptera","349","18","110","8","80","10","74","4","85","11"
"5","Diptera","721","49","95","16","250","25","143","17","233","24"
"6","Embioptera","90","4","17","2","68","2","0","0","5","1"
"7","Ephemeroptera","78","3","5","1","68","2","0","0","5","1"
"8","Hemiptera","871","32","160","11","211","18","311","11","189","17"
"9","Hymenoptera","3328","148","564","59","742","80","595","49","1427","78"
"10","Lepidoptera","1649","71","376","38","685","44","371","26","217","26"
"11","Mantodea","101","4","8","2","27","2","39","2","27","3"
"12","Mecoptera","77","6","23","3","21","3","0","0","33","3"
"13","Neuroptera","447","17","141","8","145","9","69","2","92","7"
"14","Odonata","100","9","16","4","22","5","6","2","56","5"
"15","Orthoptera","571","24","129","11","168","13","145","8","129","11"
"16","Phasmida","20","2","8","2","0","0","3","1","9","2"
"17","Psocodea","399","17","144","9","147","12","75","5","33","6"
"18","Siphonaptera","53","4","23","3","30","4","0","0","0","0"
"19","Thysanoptera","469","22","145","9","147","12","77","4","100","10"
"20","Trichoptera","439","13","124","6","144","8","95","2","76","6"
"21","Zoraptera","59","1","0","0","59","1","0","0","0","0"
"22","Zygentoma","30","2","3","1","0","0","3","1","24","2"
